time_stamp,humidity,temperature,pm2.5_alt,local_datetime,Date,PM2.5_corrected
2023-07-10T04:00:00Z,100,74,3.9,2023-07-10T00:00:00Z,2023-07-10,-0.8263999999999996
2023-07-10T05:00:00Z,100,73.733,3.8,2023-07-10T01:00:00Z,2023-07-10,-0.8787999999999991
2023-07-10T06:00:00Z,100,73.966,3.4,2023-07-10T02:00:00Z,2023-07-10,-1.0883999999999991
2023-07-10T07:00:00Z,100,73.767,2.5,2023-07-10T03:00:00Z,2023-07-10,-1.5599999999999987
2023-07-10T08:00:00Z,100,72.733,2.5,2023-07-10T04:00:00Z,2023-07-10,-1.5599999999999987
2023-07-10T09:00:00Z,100,72.2,2.3,2023-07-10T05:00:00Z,2023-07-10,-1.6647999999999996
2023-07-10T10:00:00Z,100,71.867,2.4,2023-07-10T06:00:00Z,2023-07-10,-1.6123999999999992
2023-07-10T11:00:00Z,100,72.133,2.5,2023-07-10T07:00:00Z,2023-07-10,-1.5599999999999987
2023-07-10T12:00:00Z,100,73.633,2.7,2023-07-10T08:00:00Z,2023-07-10,-1.4551999999999996
2023-07-10T13:00:00Z,100,74.9,2.9,2023-07-10T09:00:00Z,2023-07-10,-1.3503999999999987
2023-07-10T14:00:00Z,100,76.1,3,2023-07-10T10:00:00Z,2023-07-10,-1.2979999999999992
2023-07-10T15:00:00Z,99.9,79.633,3.5,2023-07-10T11:00:00Z,2023-07-10,-1.0273800000000008
2023-07-10T16:00:00Z,95.9,81.2,5.3,2023-07-10T12:00:00Z,2023-07-10,0.2606199999999994
2023-07-10T17:00:00Z,73.534,83.367,5.4,2023-07-10T13:00:00Z,2023-07-10,2.2409691999999994
2023-07-10T18:00:00Z,65.208,83.683,5.2,2023-07-10T14:00:00Z,2023-07-10,2.8538704
2023-07-10T19:00:00Z,61.933,84.3,5.6,2023-07-10T15:00:00Z,2023-07-10,3.3457754
2023-07-10T20:00:00Z,68.816,81.767,5.5,2023-07-10T16:00:00Z,2023-07-10,2.7000607999999997
2023-07-10T21:00:00Z,64.966,81.2,4.5,2023-07-10T17:00:00Z,2023-07-10,2.507930800000001
2023-07-10T22:00:00Z,56.733,78.833,3.2,2023-07-10T18:00:00Z,2023-07-10,2.5364154
2023-07-10T23:00:00Z,64.3,78,3.2,2023-07-10T19:00:00Z,2023-07-10,1.8841400000000004
2023-07-11T00:00:00Z,75.966,77,4,2023-07-10T20:00:00Z,2023-07-10,1.297730800000001
2023-07-11T01:00:00Z,98.133,74.666,4.5,2023-07-10T21:00:00Z,2023-07-10,-0.35106459999999906
2023-07-11T02:00:00Z,89.767,73.1,5.7,2023-07-10T22:00:00Z,2023-07-10,0.9988846000000002
2023-07-11T03:00:00Z,73.1,72.5,6.4,2023-07-10T23:00:00Z,2023-07-10,2.8023800000000003
2023-07-11T04:00:00Z,90.5,71.4,6,2023-07-11T00:00:00Z,2023-07-11,1.0929000000000002
2023-07-11T05:00:00Z,94.1,71.133,6.3,2023-07-11T01:00:00Z,2023-07-11,0.9397800000000007
2023-07-11T06:00:00Z,94.833,70.4,6.6,2023-07-11T02:00:00Z,2023-07-11,1.0337953999999998
2023-07-11T07:00:00Z,100,68.333,6.2,2023-07-11T03:00:00Z,2023-07-11,0.3788000000000009
2023-07-11T08:00:00Z,100,66.767,5.9,2023-07-11T04:00:00Z,2023-07-11,0.22160000000000046
2023-07-11T09:00:00Z,100,66.9,5.9,2023-07-11T05:00:00Z,2023-07-11,0.22160000000000046
2023-07-11T10:00:00Z,100,67.166,5.9,2023-07-11T06:00:00Z,2023-07-11,0.22160000000000046
2023-07-11T11:00:00Z,100,70.466,6,2023-07-11T07:00:00Z,2023-07-11,0.2740000000000009
2023-07-11T12:00:00Z,95.767,74.667,5.9,2023-07-11T08:00:00Z,2023-07-11,0.5864846000000004
